id,name,address,lat,lng,reference,icon
1,Chipotle Mexican Grill,"2 Broadway, New York, NY, United States",40.704288,-74.012826,CoQBeAAAAKP61Oxi2f9m0dTpoyK-b1Ftxn7z5TamGA4gLp_3mIVlzID4M9iK3E7URJ5hzinKDO6gLtDEuLJzVzw8YYYQudOglt_EB3WuXOKGFv8Lh1DqpvvFq62lplNHqRl1u0jK5pV0NMSiBsYOSKj1GpLpFcZBfFkjfykkfg3uPh-OEd7bEhARNUOFmLuzavlo0hGRvt7wGhSc2H8pf1eiGHsrEPiHsZT-TwGusg,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
2,Chipotle,"100 Maiden Ln, New York, NY, United States",40.706869,-74.006982,CnRpAAAAfdJrTSOkDB6Q9SO7v0WPolMoBm9mZ-vR_ieLm7ajilw9zZ5LBrZeYxWtLwL3sgrmuBDzEiVFTceoQtcVMzo2AsxQezUWqD0kjGmuqGJmBlYBGH8DpbXTgwg5p9z-Bt1oMh8NS4eWmszgTV3DcIvSRRIQ-WhPG1Fd5P1EQCE4N7u8FRoUNcjLwKhmvhES7zDJPRH0nj1TjWc,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
3,Chipotle Mexican Grill,"200 Varick St, New York, NY, United States",40.728189,-74.005044,CoQBdwAAAAzrwyg5qbNLhIHKyAnrUXqhzQatOP_zzVGAs7Kh08OcAGF-6ewfUOuynGmcp3OprM0PgoljKYwGb8yz_I1LiHdqkM-URX3rNYnV2OlY8pDsqijzZWmdhkqUkc3PaPgKNRwJ9Rzc5H1ikwetk5TUPe1PE6_gq0RbvEeadKGo9dUDEhB8pGbAfMwje6YfPXFBFhfPGhRNyooZ-AJslxTlf7OVDwQX6yJeCg,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
4,Chipotle Mexican Grill,"304 W 34th St, New York, NY, United States",40.752369,-73.994332,CoQBeAAAAL2Ju50R0b7KFUzASCFrhorwxZ3yvDM4bnDeFG1uQ7qBQdxWvAmgDY7TGZg1m5kG4vMyRN9DYCpJLxMn11FaFMnswQWEUtlVDwcSPlWMh3Z0VjSJlWsGGkafMOllh1XwpRbWRPP6K5OzqWVq2ShfpRa-UDK9bHbL1PEaXt9Znf0EEhAAmCKMHGs6mMPlMu7FuSOCGhThVMmzYv1OfPc8xMMu8L8Ccs2Vmw,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
5,Chipotle Mexican Grill,"320 Park Ave, New York, NY, United States",40.757577,-73.974253,CoQBeAAAAJ3OQ67389DFv7qxkJxG8c29240QHDLkEOYgMEJUIxUKF_Sq4jmg9KObv76y5yo-ZwDxKmGK1n8rJ1NcyA-YtU3399oBBzqi6Rnozvls4iRzy1PHfcg9-KjpSQjKrnRtcdYvUF3qbgxifA3kX5DkqCDpQ-Zd410U9AYTowr34FFDEhBxhuPIMssNaXst1_ORJh5CGhQW9IN2UVQOhVmgiPrTKRBJ4ihQoA,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
6,Chipotle Mexican Grill,"149 8th Ave, New York, NY, United States",40.742,-74.001117,CoQBeAAAAJ7Q0i76Lq0khsw4fLciYZxMB1kIQVLUD0AODDsyQ8UvqGNRduhKjvgt8tWsiMWMEMk01xWDfocK77B06sf6d8P_YgPZY9MZgb4RVyMt6-vVJX5LF8DaFSfpr8qRLpHGHb79o9yrm1BUOFlDpUMOsVV5445kqdxh7jMY4TKq5NZQEhBZ4ss5BlrYaruw1hab2qWcGhQq3iLFb5oAyQzaCGlv_zVBkqjsRw,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
7,Chipotle Mexican Grill,"9 W 42nd St, New York, NY, United States",40.753998,-73.981459,CoQBeAAAAGv9JjbjQJWG7sTBTCtV-p8pM1Ocijg64v_awBZNW-kgepWZ_9I3071O0blqDYLUWxeQNBDMxONlOas1n7pFleu4-su_w2NMF6unehxi5cLarmpgPd5BqWEM3TfhG3GXhGgvfM4sh-aCvhl4yTQDyrtqZbW4r81UBY9lRJUucqh5EhAcjsl1Z3dLiZedVAqvI2XNGhT7wpNXzyM30qb2GX7o7u16Roqh8g,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
8,Chipotle Mexican Grill,"19 St Marks Pl, New York, NY, United States",40.729188,-73.988711,CoQBeAAAADZKXkZeLOPLGa0v9eyAapy0p8mqHAbyw-2nAv3olKV-xEL8pjmAR-Zif-X9JfLvWju0rbdE5Dng6Dddu4Q9C2lnGgHzoQWxqsobZUPYSM1HFQ8H0eVpBGb2CzkeVhZb4IhVz4VX3NMkwtoeryTQe57j5p-NGEHhhRnDpp4gMHOoEhB2Ybzp5VtbH93V7cb8xZANGhSQQO52bzqcRseR46stky5mfQH1Vg,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
9,Chipotle Mexican Grill,"129 W 48th St, New York, NY, United States",40.759404,-73.982092,CoQBeAAAAIrWCsq0uv4SBDj1OwvyphuyYBH37Bf-n9R9yWGG2fzgk2bZcdDuLGOiN6QYBVyE_ivS9_IjShavpCo2yANLomY8paEKOrKzh8RfM5wyLJDMFChW6MXEqB-ZdQTuxvSQl8UNedBYSpoE3LdFknfqcx-dGPQBO7lBQho8JmV-EwETEhDBd3H0Y2qIM01MiYNOhhNpGhQozxC88s3zbv5NCk9mKX_azOL1wg,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
10,Chipotle Mexican Grill,"350 5th Ave #4-5, New York, NY, United States",40.748389,-73.985586,CoQBeAAAAC_IYbN9AHYnNQXjwC4B1EP9CkCXsUmN0oE3bikKN2ACz54gga0qrxEXHhr8Iq9G5GMXVKyLsZX6cpvVWswV6VxK7KxaT1nCiN5jWLL7ukQeFWjM3f0eJKS8w_XgbtKr6JqoRzkCLGmmK-BgEhvaICfm4umP22dbwAI8PvAzgNiCEhBbJg_OMhTnIxUwOJ1qVyEaGhQEFo3cvfR1wldtuAzNrtbqT-uO0Q,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
11,Chipotle Mexican Grill,"275 Greenwich St, New York, NY, United States",40.715077,-74.010995,CoQBeAAAALQ7ohXqKjGUiOdxtvS3DOg_5qVxjMYyVlc4gMF4fvm5en7xCgEq0yUISj-t9_fsKzPsK6zcVkJmYbcXljxzsI3pwXUW7jsuWHPG-ZWyoQtPIlqLU_BVMA9NEqDZqGNZpxqpFHSrJ-0q6oThmumyRVQi-JwrP05aRiW7deQtB3KZEhDVGDvRqQiTo4hd_SXhMpELGhSQJoHgXFTzoLPMq2jsXzmTguMMWA,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
12,Chipotle Mexican Grill,"2843 Broadway, New York, NY, United States",40.804596,-73.966844,CoQBeAAAABvufeAWLfn-6PF6Fd7z9ZeRKJxPUoFrlPQdGiHVtQ3ZCjmDy3Ac8Zoe4qikLUXyVVwMdGWfjxvmrsToq2HlhuxUORV9ud8NVYCYTL17snXzqp3AhXt_WGbgW4swawnyjH77balf-EkQy424qOHbGDduADZq94EHzpvVdnV80jZHEhA0SeqJbCs8imbzyitauDmSGhRVW1Tp04VJCLBdvmCSRDTpQpJ2bg,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
13,Chipotle Mexican Grill,"117 E 14th St, Manhattan, NY, United States",40.734023,-73.988864,CoQBdwAAAOtIB20V9iv81ZsCete98iCHZHHU5nU0Rih-R_wFCvylIbjw5eAJAcNwkdDX3JykH0kLM4Sd0vekEBAXj7KXd5TARARAVv_2ijn27QzgOgfmCgry8-mvXoreYab2Z-gY9X2W0cXJH_ag2LPXB5i7thox-BqALyBbCaGaWmwzZXahEhCGvVqq4dudqzzMn__IkHmpGhTL3IcuAXab8iQuSsfhVR3PXpPeoA,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
14,Chipotle Mexican Grill,"71 Spring St, New York, NY, United States",40.722533,-73.997475,CoQBdwAAALEFfuXfrurU4iOMjGdrke23lMOTRGarMaoYwJyzGTvRSuoAl2uyFS6vdXc-N3hzS8arZZbQJA9drmEa7hMXHWjGpGSEu1uM9kKUBxmEVWKXEcDe69bqbAdbx9LacrkgY8unjMsAQa0xsJob820-bNgPKcAl1m2dfB0qn9tEgYLhEhAnP5isQhSCQUamFSLffKIBGhSSPEmDu9579KKjoJn6mifrUdAjNA,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
15,Chipotle Mexican Grill,"464 Park Ave S, New York, NY, United States",40.745439,-73.982834,CoQBdwAAAEbOAoSTDPfvczKB6KsMVjxhOlMEWEegxZ0U9UtGJ5OKGSD7Dod_FPMJyy5PJRedkfFXj7XUW067pavSZWHAlsF2VEdRbs5Vkdu5pduRXhkE6pssm7u3YVlHGT8cLBMMRXSK-skdNq4LwIGYAmNZ4ppI-ZGdmTpGZHB6s-Z8YrfqEhDUUiRQs2ygs4LxzXVXPaz-GhS1nNefksAYFIvMMGT87Koo28fIrA,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
16,Chipotle Mexican Grill,"283 7th Ave, New York, NY, United States",40.746044,-73.993992,CoQBeAAAAOkqkglHFeNEvCzdX80yimN0HJ0DuGgafsTGlDqbp_Cga8ch3DEXAaCUn1MGpRIgrS42zgqeBVoIerZ4puQSeaJyla0ub54PZ9c5-TZn_J5Qc8J6UOCmmIAuVN6kXmVHePgbYnsS_Z5rnuPkH2s5fZPQcbw4GQpwDn74IsecZzZ3EhBPN3vv4JFnfiW-QEugVzhMGhTNVFNHW_c0FI0L51wPFoPZyG-caw,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
17,Chipotle Mexican Grill,"620 9th Ave, New York, NY, United States",40.759696,-73.99169,CoQBdwAAAIYh3lcxkjFosLq0maGmgNuXM701sMuJtp2BVU1TIuVnyypC1UolV2Jy3v3j_mRnxd43YN3mbdP94UtSRVGtKHb1cfx88RpQedZDRdz6FyURcdGQay7pZ3pze3hiJbXYAjblo358b5hS3DcN8-NxnfBjn6DfROPFO-bLjXqvwc8AEhCD65EaBjHEMTnVxCSqKMLcGhRGis8M5AeYUAqZhfHF-_4AaJ27rw,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
18,Chipotle Mexican Grill,"680 Avenue of the Americas, New York, NY, United States",40.741706,-73.993298,CoQBeAAAAIWZDsd0ax-NZM2lBGtD3YOOVzY8RUTS2ek_LPaE3D9vPpf5xLW3ryG9GrprupPqz0aQUqybmzLAkX3apnnfu2B9QhRvnuIcsVbOJvDKSTM4sxn8cQkEkgxneU-YfhEMSkoWc2aA_tGS0j2V1-mHn1ljQ7_Ce27dz6OC16Q8uC_2EhAxQurC4BK1ZUKOj9FlhfMuGhRnS4pZufFYHnsEdEDXtRTq9GXaBA,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
19,Chipotle Mexican Grill,"25 W 45th St, New York, NY, United States",40.756097,-73.980767,CoQBeAAAAGZMjqTqoytoMz_wRN8g1i6tKu_x23-_JZjeVZM8ylyk7INv9EXoZFHz1e-buq0huYL0m03hCWGg6N4_lIUeaxktsAnDUlF3EFZTOA4jqqXV4jvvW8cT3rHQdS4aG8JHJVWlqsX64gd9uo2vkhfcJSEc8VV7jUGfHR8kc0Wkn6ZZEhCiPxZp8B3V1y4s5yUeDBBLGhR4hJscbqaLBr0sHmiG1SDE6f1Huw,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
20,Chipotle Mexican Grill,"625 Broadway, New York, NY, United States",40.726037,-73.996478,CoQBdwAAAD5GcUDuDOVha77XWct_0aner3B9IXYsFqtOHRlc0ZTL8Q8o8z0_Ho1MHLNSmlxlGb5v2As0HmUvIFsQkPRH9DxMoF2bEx0YOZ_OQYXWl6q2ekwy6bBGeRc30YlQftlis6txwIHIKhnxi0DxkysDBCNBHPR9hN34Cfs7eUrgx94kEhDNhbXlXxLirt4EJM_WsOwMGhSChotMP6vBmWF6vso_IMNKo4DhjQ,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
21,Chipotle Mexican Grill,"235 W 56th St, New York, NY, United States",40.765913,-73.982616,CoQBeAAAADRmPScn29-mLWPbmOjvwRHtgpvM9Bhi7lUvSXmEVzJPulS1KekYBpzptQWepWFYBjMOfvEwengq8KldhTQdt0Bva8RAjfXD-yyGm6lFAD6Ktp_TvmZZJV67ikWeM1vvmf40-j7fQ___Sd6-ZcR-AFCBYYAmbD63d1OFrTZKbUKGEhBZ1Iz7-ECemh41i2KGVq_IGhTDduekPSErG6yNmL2A8-tAZahaXg,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
22,Chipotle Mexican Grill,"854 8th Ave, New York, NY, United States",40.763074,-73.985333,CoQBeAAAADnRLFiPtqn7NQzhxPyD5lraY02YsTBFDW-uV7RO5T_scK4__OzdEeanWfVS1yTNbqdSXD56cVU5S7IF2k1y_j3aTG9GnuLb9c35KYZzFa-eAGTqsJyrOhVTeO9lDqgfog2Rv4ItInwRoZJ9-w1trNqLt2lhMLu8bls7t1botpR1EhDMKw2ftK2_yYWl7z8XDSwAGhTrY8o83mIVYIfqjWnGKWUqNuxQ7w,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
23,Chipotle Mexican Grill,"864 Broadway, New York, NY, United States",40.737324,-73.990009,CoQBeAAAALivAWCS8KjrPKpetVAVwyghUR0DEXEk3p1ybSudibgR3RyZV-3xOon-wzQrc-_wp24yKtHpsbnJP_sGp7EWmBM8_Y0jD1Fthn07X8Qy2pddPG6pkf-uv2nQ94Isnog6xthuuwa5Y-XM3aueJLMNhY0S4YG7Kqvz64wnaee2oNPZEhC1tTg8Em1uN8j8w7RB1FJFGhQ-L0zDVyvWoi_VGpVTSq9PyBliPA,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
24,Chipotle Mexican Grill,"269 Amsterdam Ave, New York City, NY, United States",40.778943,-73.981141,CoQBdwAAAJcXaRuV0jfzcYEZrOawIvF309kLbXfCDMmpm6d0L38mpkZvc_S6BKTszsjV_GqUpRXjo5GhnNDsuyuJdhLNfIF5UzoLs-jiooL2zDJK1N2ZAVnH8tFCzWxRoN9G8oojoz2aWzlJbJnfo9ykDBDuJD_r3axwCbKZ6hA9n4SEQ99IEhByV9PabfI3q-nCKUyMpCWRGhTCde1YXWqnZH92TQJMxfHMxIrjKg,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
25,Chipotle Mexican Grill,"55 E 8th St, New York, NY, United States",40.730982,-73.993413,CoQBdwAAAEoGH4zabu4UIo4_Oyzai9WrIZzkD3e9fhDvFfhI_Gw9tyUhE5tsumz_-p5OBxtkuGAFJe56_PLNLU-Z_ospem-9z5lmZlENqLXqs22fwjLSMrVIgbo9jpmksUpdhniZerhwLdsyBCRRytj7aU3zziOrr16rhUsQ97WPRTzYNzBIEhBZMa7Ouw4ZkXp3VkpWLIoEGhTEs-oAg_nT56PSa04gG7Uz0UIO6A,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
26,Chipotle Mexican Grill,"501 7th Ave, New York, NY, United States",40.75297,-73.988967,CoQBeAAAAAjEC2yAOnkWOPVbHnZ5J0xlHzB6ZPO6_d9fcD-iFaOv8EOgXFD7HuEi-08rlghvg9C1BIkIBtLYJhg8APB0vE4gNfsx0H7AthLzun5CTHYnqx9erC5rsZCA0KvjDlcBtvNY7Xxh1OdLMKjfCC4eVoPCzwWpaFCl6OIAxr6leJAJEhAAVzdQI6e7BqjkvAjD7xyBGhQ20oCHLuqATnBjervmpQx0C_2gzg,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
27,Chipotle Mexican Grill,"1379 Avenue of the Americas, New York, NY, United States",40.763626,-73.978118,CoQBeAAAACQILRc3Ou5C1BFrJvFEbqfWbzI2rKP6fWpBgkHhBbAlRRrSOMGD5OgMjRxtdfOgKuwRrLARDZJY9a206Yyogu51AAH5LwC0D2c0CJ-h3oXvpOHfi9Z232H6d8BP82Hep2Yaqx0pq9sG0gMvb0HUWNUB_7zOz8sSSLK5BQsL16vgEhCI1XjQxH13HJOFDZq8y3CaGhRIdQtGkXRk1HGT1gaJlO4MFWFlgA,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
28,Chipotle Mexican Grill,"101 Fulton St #111, New York, NY, United States",40.709742,-74.006444,CoQBdwAAAC0G3Qqg4ZLKCLXd96fmrjF8-Xv3Xtxmry838eb3-dMUkBgahLh_ZMUvGe60omGgV027OqRtfCAhq8cM3qkdmy89yYByBXMW42LAXp1O1J5P-BSNHGCnSHTEzPi4gykf1bmjrahlqNRGj-DRUkyjz4G15-9CjXjnbXOwzUu6BpMREhBv-tWAgRtm3gRxz_zccMfCGhTOvh-sVG-pPBPVkf6D0K8o5BK0Pw,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
29,Chipotle Mexican Grill,"1497 3rd Ave, New York, NY, United States",40.777698,-73.954524,CoQBeAAAAPr2rCqa3YJQXpmlcCZSpohoBm2TIDzza__eymFlYD7k7bOq75pRZ4A_j2w2rvoKxuY2_kTP0MMInhNB9ToeSGKze3jOmuRIjGf_MvpHAgaLkx40PRc-6My0ReiCqCVndivigDtJpZYYcaWtIpFnSJc26RJM9RnrK7kok3BcZizxEhBnW-6EKRpII75NmzM1p5_PGhS24rUaeDciEa_8fhVBv8h_b4vrkA,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
30,Chipotle Mexican Grill,"274 Madison Ave, New York, NY, United States",40.751257,-73.98061,CoQBdwAAAIJJzlktW6SJzVe1r7xGYmptBCslQkQ2uG-KbkDoAz1_mk6bHu9o4p5oJPp2nxgz05F8KMnl3QsQloU2siPsseohxGT2rAAtoFmdsjguspjw7cV_M_6EM_UDccL-VVgVbNs88H0M5jOEszykMs7cNXeixagg9A0q2KB8sebCB1c9EhA2GBkLHfXQAlXpEzhsRhJcGhSyVxXVHh1x0T-6I3i40a2O57rtSg,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
31,Chipotle Mexican Grill,"1153 3rd Ave, New York, NY, United States",40.766622,-73.962541,CoQBeAAAAGAzgUYJwDXKY-H6mu5b8I4ERBrS79zMjdZQ4LCMY3NTFhWBgUr2VCp09onaWH9UbulCK-9zbPEya-_rx31cEZOv6Iwuf1rR296mQQwqZ6_4x-VRUzCG_BHp2daBF2zSPFTVfKkt-Fo-jJH2D4gNnqwwsd1t27J--7yzzHC1KQN2EhAmoYF0hLTx1sSiS8bBcMtPGhT_Fs34OOJWRUJha3hqrnPDvtUcYA,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
32,Chipotle Mexican Grill,"125 E 23rd St, New York, NY, United States",40.739978,-73.985069,CoQBeAAAAGKAHjWLV8hNMEiuH2N4DxsKMuo3n09zRfv40PxCogYInzzIrtmCi36QLWF_jO-A8hLWHGCtL8Q0vAoAFNYnZkOoMuR8IUOc2usXOwwEGbroQGzCwUvQ6BEcZNUJK7fh0AxJc7rJ8N6L9w46L1GrKHrkXZCY2BiqY0kzTLKp0OHWEhDKh40piiKtc7qPo5FkjzySGhQZWBEpnZg4C1G0la44VW6J2CFB4g,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
33,Chipotle,"281 Broadway, New York, NY, United States",40.714537,-74.006312,CnRqAAAAxMAwy99DgJKAv21eW6sVHwK6n4T8X3GKDSthqgzbSm0t5bGF5BV460Exc77jLHOVWFh9eKT1RrB8y9nkebfrk_QkKzbKyOoob-lbpnzptzXPZYHVMLLVaZP9pCwg91TzzbowpOeA5D69c0zIXdzvZhIQk8INrX01dZ0ZV8Es9J2nDxoUhU9ZmasXe-r-0v_Ox5lGYNFTyVM,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
34,Chipotle Mexican Grill,"405 Avenue of the Americas, New York, NY, United States",40.733577,-74.000004,CoQBeAAAAKYrq3NOW03WptDmaEps708lVgncZhk-KHRD-21wrVHHqoSF8K6T2JuXIl9JRzo3WLsPipYZdoD5c5Pz4Xoyj8KVX67rHAa_E8VDY7iKjrYs3C7SGf9SCJZixjZk1QQmMTdp7aXH6Hu5uMqeDeP7nIyKddRBmmP-jqNIL5xE-3tEEhDAK-us1gejlghVN6mElCHFGhSW0aD__VIo2J_gj0QMkOpaYheUjA,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
35,Chipotle Mexican Grill,"1288 1st Ave, New York, NY, United States",40.766077,-73.957234,CoQBdwAAANV5a_mqlrgCItsxn4-zQA8KlsqCLKsau9BfIJhsTknYwnQSBWolZZ-vV1200_iHRIxF8xcA38L-kRpsOOZWJDuAZf6DYKY0IhE_1iGccAfserEDv0EqUmauU65UbfJvPrqWzepTotwd3t7ZM0kwdEZk_AY1I8rKZCh2IOwymMPrEhAIuCpJhXk3Qmzs1eUiomc4GhQVdsf4GBDdd8rk8q-Hi0_7qNiSWg,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
36,Chipotle Mexican Grill,"150 E 52nd St, New York, NY, United States",40.757116,-73.970632,CoQBeAAAAL-CpUR6AdTD1v-evbdXXvAEbP1qTb8FBsnYIrNSnUWDUUMJ4GgBxO-qANrVfg5yrF0pB_GGu6gAW9pBZnla4yehOKIv_QnTieBOxSUSQNtxdb62LVUBi4PUSC0i4JKMAkP9EQYFtASZ13wAOAcZeA_wy9jUgEzNG29XRaV16-eIEhC3rzdxgpqzz13Q3YYB9bRVGhTwCQdB3AmPlKWsgiI1zHfjO5aNzA,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
37,Chipotle Mexican Grill,"604 2nd Ave, New York, NY, United States",40.744214,-73.975843,CoQBdwAAACOGTNjkIuwhLgQEVFHb2520fGcyW-OhiV6YYaCiFOoSsESv90Q-qtOZ66_8mFdVENZ6THLXqjvsxxbpGwh7PNW31ZcolYWlbMJoXU9EX04FIsqD4bz3sY0WNJ2zMm61RruYI28wO08uz-OOoM3KercuzeR5zcg3iJl7Js7ScVb4EhC2xmAP4UDXNzvwKok8tp5BGhSyYtznVqSPcd7ShZ5fcWFuV3pM0Q,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
38,Chipotle Mexican Grill,"4009 Broadway, New York, NY, United States",40.841467,-73.939822,CoQBeAAAAKZoVPrn5e_iNmZS_3so_49ufO8518cet7pW3u4-8i44hjHWUSWKBYikb-jipgh82pBePAWfPZwD6s1sNDXpH6vinpJkRNkGRcomtajhDC3plD7Xw87xcy8RtqLX2ylwCyQ1ehnPlrq2zrLBqgZ5Uv0ZajTrEj7Uqsv6VnzHSU72EhDs-SWHs53ceO4UxGJqktjuGhQPjEM2gOxbr_RC6QTcsUwNBl2Y7A,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
39,Chipotle Mexican Grill,"2298 Broadway, New York, NY, United States",40.786155,-73.977814,CoQBdwAAAEJdghJ2k_7rwhik8FEb3WM-CciEOYzoCuClQQbep6LMIs4DFNpOKLLSo65sUYMX8n8pJAmTWqCNMlFB5Sx2SPvkQGovaF2t1aJHDrKlUjp5fnm99a5ZErtO20X-uhmKszUEtG9T6PwN7nr7xyZJyHipmrENfOBYeL5gj5A3KGRiEhA9BZnCpN8XKBDTHw2T7EDgGhTr2DkLIhqHidqiLdGDM2K106-wFQ,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
40,Chipotle Mexican Grill,"234 5th Ave, New York, NY, United States",40.744319,-73.987896,CoQBdwAAAFcCav5uUyCOHMJLUHfqjoBbBDKwkRhpCpbiejAGtp4fTduKjYkoOMOiywUXYA3se6WduXiOEzp0OZdUDhfeeORrHenrbGu7x5eIyt3nLHpP7CNjCrNwtIs0h3hc3nbtH8dZEDcQjb8tdNeycjA6EYYZxtk7wXy-m9fXeHBeigMfEhCfLbfAGhtbvo5mz6KUhazXGhTYk3lIO6VlMlLF94cVGif9GaTdLA,http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
